item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
234,-0.169879869,-0.042257518,0.01357915,-0.232029587,-0.410120428,1.096596479,0.050810948,-0.172040641,-0.219436496,0.418811411,-0.047440778,0.160684496,0.22243838,1.272832751,0.359158397,-0.714876056,-0.916362405,0.160077095,0.499746859,0.176836044,0.036768816,0.318921298,0.142675057,-0.200953484,0.185098886,0.088871852,0.923246861,0.523279011,-0.13306278,-0.872127175,0.808213294,0.114379764
337,-0.070156045,-0.032056972,0.396650732,0.401057243,-0.422927707,0.476092339,-0.148030773,-0.291221827,-0.665136099,0.929906368,-0.017507007,-0.378721893,0.226230204,0.551697731,0.469456106,-1.029911995,-0.954480171,-0.422780871,0.330913693,0.437634885,0.215969056,0.544044197,0.192187279,-0.043572567,0.421349138,0.236852095,0.572156727,0.348879576,-0.234779343,-0.456907958,0.566784203,0.239879936
3095,0.435853094,0.055148613,-0.057095449,0.060487591,-0.107408755,0.240312919,0.125056386,-0.07809101,0.18194066,1.000245571,0.002876412,-0.055196449,0.762056172,0.088321328,0.692340851,-0.021994645,-1.535916924,0.149078175,0.136108816,-0.130152002,0.37508902,0.350331485,-0.035905112,0.136237293,0.329860955,0.809076726,-0.02934924,0.592282355,-0.026653247,-0.300334454,0.947795212,0.37486285
898,-0.076508336,0.051182613,0.236691669,0.337426066,-0.154033929,0.374402195,-0.43124944,-0.26274392,-0.190467849,1.0522089,0.279298007,-0.386068523,0.571543097,-0.039888773,0.330287009,-0.114032105,-1.079607844,0.246036321,-0.32699281,0.012610551,0.149514139,0.655730128,0.100285091,0.076321244,-0.102775581,0.596148491,-0.25506568,0.03924983,0.232622758,-0.620070338,1.34718895,-0.01801125
0,0.121903494,-0.25950253,-0.117265165,0.260224879,0.131688714,0.222093612,-0.520235419,0.044347819,0.32333985,0.173991635,-0.443235993,-0.09226761,0.35361442,0.429754704,0.682236493,-0.08271955,-0.328502148,0.196834594,0.328618526,-0.296193093,0.318056792,-0.180589855,-0.043040738,0.018688565,0.120338388,-0.047648542,0.891849518,-0.012762457,-0.08499223,-0.240261525,-0.103097297,-0.014751647
2493,0.457507819,0.070007779,0.00613754,0.423531771,0.243561223,0.740894318,-0.358804673,0.068129286,0.332017183,0.48830989,-0.213560015,0.537139177,0.630104363,1.14801693,1.167899132,-0.655001521,-1.022904992,0.106407844,0.499404699,0.058848966,0.465286553,0.257989496,0.579822302,-0.469536424,0.356521398,0.679240167,0.859482825,-0.137300298,0.363716424,-0.396440387,0.162935108,0.091148756
2530,0.19938755,0.54573977,-0.158110559,0.485086024,0.47922048,0.180561051,0.198227629,-0.093699954,0.065565452,0.781449676,0.36154151,0.777546763,0.840483308,1.006639481,1.709540009,-0.106651969,-1.070850968,0.312218577,0.594809473,0.13153258,0.390671015,0.053924035,0.189552546,-0.357752472,0.12221738,0.425410867,0.753913939,-0.66191113,0.127793193,-0.226841912,0.669504344,-0.222220391
1217,0.38192296,0.434256852,-0.040197272,-0.01772753,0.21351099,0.534215391,-0.172184214,-0.006661432,0.089335389,1.110485077,-0.025469858,-0.259431183,-0.031113166,0.368952632,0.820496857,-0.086758934,-0.630960464,-0.203612566,0.137839511,0.447137088,0.418791145,0.731228411,-0.25110513,-0.48353672,0.222072363,0.706188798,0.762538731,1.018293858,-0.455050558,0.045231603,0.239698872,0.045640863
3399,0.316400915,0.433321685,-0.251766205,0.219207868,0.107559524,0.80097419,0.448171198,0.316179574,0.463017315,0.275475949,-0.231815174,0.370264083,0.758810043,0.84247309,0.875125408,-0.649349153,-0.896359742,-0.193126947,0.720292568,-0.165223271,0.414410472,0.138444945,0.315546006,0.300370306,-0.123118907,0.728356659,0.884713531,-0.315379858,-0.354597479,-0.330400676,0.674258232,-0.111350603
2039,0.159235865,0.324129611,-0.192134514,0.359961659,0.42757225,0.654986918,0.236644894,0.097204238,0.41207239,0.701998591,0.292775452,0.747615516,0.374537289,0.490567714,0.945465624,-0.288452029,-1.020834327,-0.185259476,0.745188415,-0.079475477,0.48683089,0.662461042,0.364436656,0.209388897,-0.163975596,0.704350889,0.929587185,-0.395764619,0.079383537,-0.082081668,0.738555074,-0.032804623
324,0.250271291,0.565601587,0.399604768,0.022670837,0.517943859,0.668928444,-0.254496872,0.134050846,-0.178670079,1.007012367,0.465603769,-0.004748248,0.141010478,0.80152142,0.482920855,-0.724362433,-0.623984993,-0.149444357,0.489823312,0.163058937,0.635734677,0.165322661,0.078227118,-0.41888392,0.658559978,0.895508409,0.334458083,0.153231755,0.636428893,-0.721904755,0.695670545,0.446163863
2531,-0.206385687,0.705211639,-0.219747543,0.652699828,0.32615608,0.790618837,0.245995194,0.216534436,0.025090192,0.800723016,0.687537372,0.307420194,0.736400545,0.984653115,1.251641631,-0.553608358,-0.737969875,-0.393904954,0.651256502,-0.074409537,0.485044062,0.325685114,0.28566137,-0.207548261,0.070303239,0.596580803,0.978064954,-1.194929838,0.040447887,-0.270443588,0.971442938,-0.035724934
2527,-0.286065519,0.402104288,-0.437271208,0.534736991,0.398164839,0.534825206,0.496936649,-0.363696128,-0.111912489,1.184140921,0.389296234,0.592295706,0.939392626,0.836769104,1.255635381,-0.293513328,-0.746498346,-0.347673416,0.452177167,0.195369914,0.067546375,0.138953999,0.346675813,-0.263826162,-0.129615754,0.204680964,0.405085832,-0.581759334,-0.025142139,-0.037492599,0.899511814,-0.110612355
1267,0.36227113,0.303311884,0.331141591,0.176334873,0.5485726,0.489192605,0.112423494,-0.210571259,-0.88241899,1.180800915,-0.178193912,-0.365083277,0.342530251,0.776818275,0.103450179,0.025594682,-0.384287089,-0.723540545,-0.551254272,0.200019985,0.029216122,0.052028272,-0.041580513,-1.064689994,-0.018750317,0.263633639,0.110168502,0.12684238,-0.224510834,0.089933902,0.927286267,-0.057312746
293,0.031225279,0.582467496,-0.270986021,0.237421319,0.647417724,-0.007296174,0.004626341,-0.231920451,-0.141849428,0.493271708,0.124563232,-0.095635585,0.570710242,0.540382504,0.107343279,-0.452936232,-0.561588168,-0.643127441,-0.203024983,0.023749376,0.102755539,-0.218791962,0.494405985,-0.543533564,-0.280843139,-0.5933007,-0.000736082,0.063794322,-0.08592277,0.64567697,1.040010214,-0.107143149
